full_date,AMD_股價,SP500_大盤指數,美光_股價,NVIDIA_股價,三星_股價(美金),TSMC_ADR股價,費城半導體指數
2022-05-12,87.05999755859375,369.7590026855469,66.27977752685547,16.10878562927246,-2.549045910306816e+16,81.67428588867188,2827.2099609375
2022-05-13,95.12000274658203,378.7726745605469,70.40086364746094,17.633516311645508,-2.549045910306816e+16,84.71994018554688,2970.3701171875
2022-05-16,94.23999786376953,377.1765441894531,68.98147583007812,17.193326950073242,-2.549045910306816e+16,84.20768737792969,2920.06005859375
2022-05-17,102.47000122070312,384.9884033203125,72.90679168701172,18.10258674621582,-2.549045910306816e+16,86.91804504394531,3066.5
2022-05-18,96.27999877929688,369.5242614746094,69.54922485351562,16.8686580657959,-2.549045910306816e+16,84.3194580078125,2907.9599609375
2022-05-19,96.66999816894531,367.2144775390625,67.93407440185547,17.053895950317383,-2.549045910306816e+16,84.02140808105469,2890.330078125
2022-05-20,93.5,367.4022521972656,67.44462585449219,16.62565803527832,-2.549045910306816e+16,84.55229949951172,2882.64990234375
2022-05-23,95.06999969482422,374.26580810546875,68.12006378173828,16.828824996948242,-2.549045910306816e+16,85.222900390625,2898.429931640625
2022-05-24,91.16000366210938,371.58050537109375,65.21280670166016,16.08786964416504,-2.549045910306816e+16,82.63362121582031,2827.050048828125
2022-05-25,92.6500015258789,374.8667297363281,66.4364013671875,16.9055118560791,-2.549045910306816e+16,84.20768737792969,2882.929931640625
2022-05-26,98.75,382.19976806640625,69.10873413085938,17.777921676635742,-2.549045910306816e+16,84.75720977783203,2994.610107421875
2022-05-27,102.26000213623047,391.76751708984375,71.77128601074219,18.73399543762207,-2.549045910306816e+16,87.3371810913086,3115.35009765625
2022-05-31,101.86000061035156,389.5328674316406,72.28028869628906,18.595561981201172,-2.549045910306816e+16,88.76222229003906,3098.68994140625
2022-06-01,101.22000122070312,386.3780212402344,71.99642181396484,18.24500274658203,-2.549045910306816e+16,88.24996185302734,3049.030029296875
2022-06-02,108.58999633789062,393.65472412109375,73.7779769897461,19.511795043945312,-2.549045910306816e+16,89.73087310791016,3157.97998046875
2022-06-03,106.30000305175781,387.1949157714844,68.46269226074219,18.64336395263672,-2.549045910306816e+16,87.3371810913086,3062.590087890625
2022-06-06,105.6500015258789,388.359130859375,68.96190643310547,18.709095001220703,-2.549045910306816e+16,86.72244262695312,3062.739990234375
2022-06-07,105.27999877929688,391.9646911621094,69.26535034179688,18.848527908325195,-2.549045910306816e+16,87.40238189697266,3092.969970703125
2022-06-08,101.9000015258789,387.7206726074219,67.15096282958984,18.575590133666992,-2.549045910306816e+16,87.0577621459961,3019.10009765625
2022-06-09,98.80000305175781,378.6157531738281,64.62547302246094,17.977914810180664,-2.549045910306816e+16,84.61750030517578,2937.7900390625
2022-06-10,94.81999969482422,367.4453430175781,61.297298431396484,16.908090591430664,-2.549045910306816e+16,82.59636688232422,2831.97998046875
2022-06-13,86.98999786376953,353.3175354003906,57.59713363647461,15.586240768432617,-2.549045910306816e+16,79.68110656738281,2673.0
2022-06-14,86.98999786376953,352.3758239746094,57.4600944519043,15.774506568908691,-2.549045910306816e+16,81.20858764648438,2689.889892578125
2022-06-15,89.30000305175781,357.3957824707031,57.8712272644043,16.462825775146484,-2.549045910306816e+16,83.01547241210938,2737.550048828125
2022-06-16,82.05000305175781,345.65087890625,53.84803771972656,15.54041576385498,-2.549045910306816e+16,79.13639068603516,2566.860107421875
2022-06-17,81.56999969482422,346.281982421875,54.57240676879883,15.818334579467773,-2.549045910306816e+16,79.5858154296875,2578.5400390625
2022-06-21,83.79000091552734,355.0882263183594,55.6002311706543,16.501667022705078,-2.549045910306816e+16,81.41161346435547,2649.3701171875
2022-06-22,83.75,354.47607421875,55.14993667602539,16.296470642089844,-2.549045910306816e+16,79.50154876708984,2619.7099609375
2022-06-23,82.43000030517578,358.02691650390625,55.0324821472168,16.16199493408203,-2.549045910306816e+16,78.76187133789062,2602.739990234375
2022-06-24,87.08000183105469,369.2066955566406,57.20558166503906,17.05949592590332,-2.549045910306816e+16,80.44721984863281,2718.469970703125
2022-06-27,86.16000366210938,367.86920166015625,57.53841018676758,16.803495407104492,-2.549045910306816e+16,80.39102935791016,2713.47998046875
2022-06-28,80.77999877929688,360.3626708984375,56.63784408569336,15.919939041137695,-2.549045910306816e+16,78.96784210205078,2642.070068359375
2022-06-29,77.98999786376953,360.1083068847656,54.83670425415039,15.481646537780762,4854325046149120.0,78.32180786132812,2583.97998046875
2022-06-30,76.47000122070312,357.1038818359375,54.112335205078125,15.10013484954834,4854325046149120.0,76.54283142089844,2556.25
2022-07-01,73.66999816894531,360.8147888183594,52.516761779785156,14.466602325439453,4854325046149120.0,72.09539031982422,2458.4599609375
2022-07-05,75.19999694824219,361.58697509765625,55.53169631958008,14.905891418457031,4854325046149120.0,71.26207733154297,2477.639892578125
2022-07-06,75.3499984741211,362.87744140625,56.15818405151367,15.071247100830078,4854325046149120.0,70.74710845947266,2494.110107421875
2022-07-07,79.30000305175781,368.2554016113281,57.6069221496582,15.796420097351074,4854325046149120.0,75.51289367675781,2605.889892578125
2022-07-08,79.3499984741211,367.96343994140625,58.004146575927734,15.77649974822998,4854325046149120.0,76.31812286376953,2618.02001953125
2022-07-11,76.94999694824219,363.77215576171875,56.69969177246094,15.093161582946777,4854325046149120.0,74.07099914550781,2553.68994140625
2022-07-12,76.36000061035156,360.50396728515625,58.043392181396484,15.023433685302734,4854325046149120.0,74.06161499023438,2558.169921875
2022-07-13,77.5199966430664,358.6578369140625,57.729515075683594,15.10511589050293,4854325046149120.0,76.11212158203125,2577.360107421875
2022-07-14,78.5999984741211,357.7914733886719,58.210105895996094,15.312307357788086,4854325046149120.0,78.34053039550781,2626.919921875
2022-07-15,81.11000061035156,364.61981201171875,60.348243713378906,15.700793266296387,4854325046149120.0,80.17569732666016,2693.77001953125
2022-07-18,81.43000030517578,361.6717834472656,59.28899002075195,16.038476943969727,4854325046149120.0,78.25627136230469,2679.570068359375
2022-07-19,85.87999725341797,371.3917541503906,61.2015380859375,16.9260196685791,4854325046149120.0,80.66256713867188,2803.139892578125
2022-07-20,89.43000030517578,373.68994140625,62.08424758911133,17.737850189208984,4854325046149120.0,81.04647064208984,2872.9599609375
2022-07-21,91.08999633789062,377.5044250488281,62.41771697998047,17.97990608215332,4854325046149120.0,82.19810485839844,2916.81005859375
2022-07-22,88.0999984741211,374.14190673828125,60.112857818603516,17.251747131347656,4854325046149120.0,80.82173156738281,2842.409912109375
2022-07-25,87.54000091552734,374.5281677246094,58.994754791259766,16.9578914642334,4854325046149120.0,80.8030014038086,2825.030029296875
2022-07-26,85.25,370.0825500488281,58.514156341552734,16.46879768371582,4854325046149120.0,79.04275512695312,2778.9599609375
2022-07-27,89.81999969482422,379.65185546875,60.70132064819336,17.720918655395508,4854325046149120.0,82.04829406738281,2911.0
2022-07-28,91.66999816894531,384.47412109375,60.877864837646484,17.914165496826172,4854325046149120.0,82.96588134765625,2944.5
2022-07-29,94.47000122070312,390.19110107421875,60.67190170288086,18.092472076416016,4854325046149120.0,82.84415435791016,2967.139892578125
2022-08-01,96.77999877929688,388.9384765625,61.33884811401367,18.3693904876709,4854325046149120.0,80.81237030029297,2978.320068359375
