full_date,台灣晶圓核心(台積電ADR),電腦周邊晶片(聯電ADR),硬體封測成本(日月光ADR),全球美金通膨基準(SP500),台灣硬體零件通膨指數,美金總體通膨率(%)
2025-01-28,198.1510467529297,5.314474582672119,9.384859085083008,594.8712768554688,102.54683756828308,73.9881078138948
2025-01-29,198.08251953125,5.305232048034668,9.394415855407715,592.3447875976562,102.51171255111694,73.24915956999475
2025-01-30,203.78033447265625,5.397657871246338,9.633338928222656,595.3118896484375,105.43613238334655,74.11697835969163
2025-01-31,204.92578125,5.342202663421631,9.700236320495605,592.1000366210938,106.00559868812562,73.17757473987349
2025-02-03,195.60565185546875,5.564023971557617,9.413531303405762,588.2026977539062,101.3547393798828,72.03768004098008
2025-02-04,199.76641845703125,5.564023971557617,9.442200660705566,592.1293334960938,103.44085655212402,73.18614349759373
2025-02-05,204.19151306152344,5.591752052307129,9.642895698547363,594.557861328125,105.70186128616332,73.8964399578667
2025-02-06,206.08102416992188,5.582509517669678,9.662008285522461,596.7415161132812,106.64766659736634,74.53511588486124
2025-02-07,201.79295349121094,5.573266506195068,9.671566009521484,591.2578125,104.50276989936829,72.9312408069949
2025-02-10,203.5845489501953,5.637964248657227,9.82447624206543,595.1257934570312,105.44855899810791,74.06254889658946
2025-02-11,204.3579559326172,5.610237121582031,9.872261047363281,595.5957641601562,105.83650131225586,74.20000605168514
2025-02-12,202.04751586914062,5.573266506195068,9.786248207092285,593.6177978515625,104.65298752784729,73.62148994451817
2025-02-13,197.593017578125,5.822816371917725,10.3309907913208,599.943603515625,102.60955185890198,75.47166325210597
2025-02-14,199.6195526123047,5.785845756530762,10.397889137268066,599.9534301757812,103.6251078605652,75.47453735625797
2025-02-18,198.48391723632812,5.896756649017334,10.541242599487305,601.7160034179688,103.11923413276672,75.99005524260251
2025-02-19,196.7314910888672,5.9799394607543945,10.856618881225586,603.0574951171875,102.33105115890503,76.38241508829702
2025-02-20,195.89932250976562,6.053880214691162,10.684596061706543,600.71728515625,101.90274453163147,75.6979498622349
2025-02-21,194.07838439941406,5.989181995391846,10.455230712890625,590.3471069335938,100.92699294090271,72.66487740294521
2025-02-24,187.626708984375,6.016909599304199,10.149409294128418,587.5368041992188,97.64830923080444,71.84291931863024
2025-02-25,185.39459228515625,5.998424530029297,10.158967018127441,584.6774291992188,96.5286169052124,71.00660856513386
2025-02-26,190.53436279296875,6.100092887878418,10.359662055969238,584.8733520507812,99.16914167404174,71.06391213238801
2025-02-27,177.2884063720703,5.896756649017334,9.585554122924805,575.5706176757812,92.33034100532532,68.34304593095133
2025-02-28,176.74017333984375,5.961454391479492,9.681123733520508,584.6382446289062,92.09474773406983,70.99514785168302
2025-03-03,169.33888244628906,5.933726787567139,9.308403968811035,574.6011962890625,88.31124005317687,68.05950930830399
2025-03-04,176.22128295898438,6.146305561065674,9.537769317626953,567.668212890625,91.86208701133728,66.03174849696403
2025-03-05,180.41143798828125,6.284944534301758,9.834033012390137,573.8863525390625,94.05800895690918,67.85043161992989
2025-03-06,172.1584014892578,6.155548095703125,9.46131420135498,563.5848388671875,89.81812801361085,64.83744218654704
2025-03-07,173.38217163085938,6.2387309074401855,9.604667663574219,566.4931640625,90.48363862037658,65.68806990606767
2025-03-10,167.0675811767578,6.2664594650268555,9.145936965942383,551.7362060546875,87.24291582107544,61.371950939220646
2025-03-11,167.380859375,6.164790630340576,9.050369262695312,547.0359497070312,87.34994072914124,59.99721872405664
2025-03-12,173.45069885253906,6.11857795715332,9.289290428161621,549.8169555664062,90.41878089904786,60.81060805065136
2025-03-13,167.9878387451172,5.9799394607543945,9.107708930969238,542.5511474609375,87.60944299697876,58.68550258129363
2025-03-14,170.43536376953125,6.275701522827148,9.231949806213379,553.8121337890625,88.94678230285645,61.97911883001468
2025-03-17,172.5402374267578,6.19251823425293,9.337075233459473,557.7780151367188,89.99528923034667,63.13906085165776
2025-03-18,170.15589904785156,6.312671661376953,9.317961692810059,551.9678955078125,88.83534336090088,61.43971553152495
2025-03-19,170.7750701904297,6.340399742126465,9.337075233459473,557.9400634765625,89.15707006454467,63.186456792797884
2025-03-20,174.4213409423828,6.220246315002441,9.394415855407715,556.6926879882812,90.95562753677368,62.82162408127967
2025-03-21,173.69406127929688,6.201761245727539,9.317961692810059,556.5354614257812,90.57115135192872,62.775638414847656
2025-03-24,178.0479736328125,6.275701522827148,9.442200660705566,566.49560546875,92.79513740539551,65.68878396921103
2025-03-25,177.79241943359375,6.211003303527832,9.32751750946045,567.7136840820312,92.62501420974732,66.045047923009
2025-03-26,170.51954650878906,6.109335899353027,9.079039573669434,561.2896118164062,88.90838193893433,64.1661335739012
2025-03-27,165.34991455078125,6.137063026428223,8.86878776550293,559.5216064453125,86.28983373641967,63.64902689706271
2025-03-28,162.41123962402344,6.053880214691162,8.41005802154541,548.2254638671875,84.70379548072815,60.34512813907737
2025-03-31,163.14837646484375,6.608433723449707,8.371829986572266,551.9385375976562,85.23108434677124,61.43112892222612
2025-04-01,165.7430419921875,6.451310157775879,8.591638565063477,553.78515625,86.52524175643921,61.97122843228061
2025-04-02,167.4629669189453,6.211003303527832,8.629865646362305,557.14453125,87.32075757980347,62.95377931753594
2025-04-03,154.6764678955078,5.952211856842041,7.836644172668457,530.4954833984375,80.69122633934022,55.159458779410805
2025-04-04,144.27822875976562,5.758118152618408,7.330130100250244,498.61090087890625,75.33257584571838,45.83384768194128
